"questionnaire_timestamp";"id";"bed_time";"late";"late_reason";"wake_time";"sleep_transition";"sleep_struggle";"night_wake";"wake_earlier";"wake_earlier_problem";"sleep_quality";"physical_activity";"mental_digital_activity";"social_activity";"light";"presleep_description";"temptation_smoking";"temptation_eating";"temptation_chat";"temptation_coffee";"temptation_social_media";"temptation_internet";"temptation_tv";"temptation_alcohol";"temptation_soft_drink";"temptation_cleaning";"temptation_shopping";"temptation_other";"bed_time_plan_aligned";"steps";"sun_hours";"temptation_score";"ego_depletion";"date";"day_of_week";"procrastination_minutes";"procrastination_minutes_positive";"procrastination_minutes_positive_15by15";"procrastination_minutes_positive_four_bins";"sleep_transition_minutes_estimated";"sleep_minutes";"procrastination_minutes_four_day_cumulative_history";"procrastination_minutes_three_day_cumulative_history";"procrastination_minutes_two_day_cumulative_history";"sleep_struggle_four_day_cumulative_history";"sleep_struggle_three_day_cumulative_history";"sleep_struggle_two_day_cumulative_history";"night_wake_four_day_cumulative_history";"night_wake_three_day_cumulative_history";"night_wake_two_day_cumulative_history";"sleep_quality_four_day_cumulative_history";"sleep_quality_three_day_cumulative_history";"sleep_quality_two_day_cumulative_history";"social_activity_four_day_cumulative_history";"social_activity_three_day_cumulative_history";"social_activity_two_day_cumulative_history";"light_four_day_cumulative_history";"light_three_day_cumulative_history";"light_two_day_cumulative_history";"temptation_eating_four_day_cumulative_history";"temptation_eating_three_day_cumulative_history";"temptation_eating_two_day_cumulative_history";"temptation_coffee_four_day_cumulative_history";"temptation_coffee_three_day_cumulative_history";"temptation_coffee_two_day_cumulative_history";"temptation_score_four_day_cumulative_history";"temptation_score_three_day_cumulative_history";"temptation_score_two_day_cumulative_history";"procrastination_minutes_three_days_ago";"procrastination_minutes_two_days_ago";"procrastination_minutes_one_days_ago";"temptation_score_three_days_ago";"temptation_score_two_days_ago";"temptation_score_one_days_ago";"bed_time_three_days_ago";"bed_time_two_days_ago";"bed_time_one_days_ago";"sleep_deficit_change";"sleep_deficit_minutes"
"2017-04-10 09:57:26+02:00";"AB64";"2017-04-10 02:00:00";1.0;"We zijn vanuit het noorden van het land teruggereden naar huis na een theatervoorstelling";"2017-04-09 09:30:00";0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;2.0;1.0;"Theaterbezoek, autorit (bijrijder)";0.0;0.0;2.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;NaT;5845.0;12.3;6.0;0.0;"2017-04-09 09:57:26+02:00";6.0;nan;nan;nan;nan;"0:15:00";435.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;6.0;6.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;45.0;45.0
"2017-04-11 23:25:39+02:00";"AB64";"2017-04-10 23:45:00";1.0;"";"2017-04-10 07:00:00";0.0;0.0;4.0;0.0;0.0;2.0;1.0;1.0;2.0;3.0;"Tv kijken";0.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;"2017-04-10 23:00:00";7649.0;8.8;6.0;0.0;"2017-04-10 23:25:39+02:00";0.0;45.0;45.0;3.0;2.0;"0:15:00";420.0;45.0;45.0;45.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;12.0;12.0;nan;nan;nan;nan;nan;6.0;nan;nan;"2017-04-10 02:00:00";60.0;105.0
"2017-04-12 07:42:47+02:00";"AB64";"2017-04-11 23:55:00";1.0;"Man kwam thuis en daar wilde ik nog even mee praten";"2017-04-11 07:00:00";0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;3.0;3.0;"Poging om Netflix te kijken maar was te moe, praten met huisgenoten, ";0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;"2017-04-11 23:30:00";5012.0;10.7;2.0;0.0;"2017-04-11 07:42:47+02:00";1.0;25.0;25.0;1.0;1.0;"0:15:00";410.0;70.0;70.0;70.0;0.0;0.0;0.0;6.0;6.0;6.0;5.0;5.0;3.0;7.0;7.0;5.0;7.0;7.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;14.0;8.0;nan;nan;45.0;nan;6.0;6.0;nan;"2017-04-10 02:00:00";"2017-04-10 23:45:00";70.0;175.0
"2017-04-13 08:26:21+02:00";"AB64";"2017-04-13 00:30:00";1.0;"Tot laat doorgewerkt.";"2017-04-12 07:00:00";0.0;0.0;2.0;0.0;0.0;2.0;0.0;3.0;1.0;3.0;"Gewerkt, achter de pc";0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;"2017-04-12 23:00:00";2467.0;1.3;2.0;2.0;"2017-04-12 08:26:21+02:00";2.0;90.0;90.0;6.0;3.0;"0:15:00";375.0;160.0;160.0;115.0;0.0;0.0;0.0;8.0;8.0;4.0;7.0;5.0;3.0;8.0;6.0;4.0;10.0;9.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;10.0;4.0;nan;45.0;25.0;6.0;6.0;2.0;"2017-04-10 02:00:00";"2017-04-10 23:45:00";"2017-04-11 23:55:00";105.0;280.0
"2017-04-14 13:10:28+02:00";"AB64";"2017-04-14 00:00:00";0.0;"nvt";"2017-04-13 09:00:00";0.0;0.0;2.0;0.0;1.0;2.0;0.0;1.0;2.0;3.0;"tv gekeken, ipad";0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2017-04-13 23:30:00";2114.0;7.2;2.0;0.0;"2017-04-13 13:10:28+02:00";3.0;30.0;30.0;2.0;1.0;"0:15:00";525.0;190.0;145.0;120.0;0.0;0.0;0.0;10.0;6.0;4.0;7.0;5.0;4.0;8.0;6.0;3.0;12.0;9.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;6.0;4.0;45.0;25.0;90.0;6.0;2.0;2.0;"2017-04-10 23:45:00";"2017-04-11 23:55:00";"2017-04-13 00:30:00";-45.0;190.0
"2017-04-15 17:04:43+02:00";"AB64";"2017-04-15 01:00:00";1.0;"Nog even gezellig napraten, en in eens was het 1 uur.";"2017-04-14 07:00:00";0.0;0.0;2.0;0.0;1.0;2.0;0.0;2.0;2.0;3.0;"Ipad, tv-serie kijken, gezellig kletsen";0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;"2017-04-14 23:00:00";2943.0;4.4;4.0;0.0;"2017-04-14 17:04:43+02:00";4.0;120.0;120.0;8.0;3.0;"0:15:00";345.0;265.0;240.0;150.0;0.0;0.0;0.0;8.0;6.0;4.0;7.0;6.0;4.0;8.0;5.0;4.0;12.0;9.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;8.0;6.0;25.0;90.0;30.0;2.0;2.0;2.0;"2017-04-11 23:55:00";"2017-04-13 00:30:00";"2017-04-14 00:00:00";135.0;265.0
"2017-04-16 08:16:39+02:00";"AB64";"2017-04-15 23:30:00";0.0;"Nvt";"2017-04-15 07:00:00";0.0;0.0;2.0;1.0;0.0;2.0;0.0;1.0;2.0;2.0;"Even rustig zitten samen, de dag doorpraten.";0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;"2017-04-15 23:00:00";2288.0;5.8;2.0;0.0;"2017-04-15 08:16:39+02:00";5.0;30.0;30.0;2.0;1.0;"0:15:00";435.0;270.0;180.0;150.0;0.0;0.0;0.0;8.0;6.0;4.0;8.0;6.0;4.0;7.0;6.0;4.0;11.0;8.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;8.0;6.0;90.0;30.0;120.0;2.0;2.0;4.0;"2017-04-13 00:30:00";"2017-04-14 00:00:00";"2017-04-15 01:00:00";45.0;240.0
"2017-04-17 08:11:53+02:00";"AB64";"2017-04-16 23:30:00";0.0;"Nvt";"2017-04-16 07:00:00";0.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;1.0;2.0;"Televisie gekeken, boek gelezen, op de bank gezetten, was doen.";0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;"2017-04-16 23:00:00";3015.0;5.3;4.0;0.0;"2017-04-16 08:11:53+02:00";6.0;30.0;30.0;2.0;1.0;"0:15:00";435.0;210.0;180.0;60.0;0.0;0.0;0.0;7.0;5.0;3.0;8.0;6.0;4.0;7.0;5.0;3.0;10.0;7.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;10.0;6.0;30.0;120.0;30.0;2.0;4.0;2.0;"2017-04-14 00:00:00";"2017-04-15 01:00:00";"2017-04-15 23:30:00";45.0;180.0
"2017-04-18 08:41:36+02:00";"AB64";"2017-04-18 00:30:00";1.0;"Geen bijzondere reden. ";"2017-04-17 08:00:00";0.0;0.0;2.0;1.0;1.0;2.0;0.0;1.0;2.0;2.0;"Televisie kijken, lezen, ipad, gesprek voeren";0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;"2017-04-17 23:30:00";3866.0;9.4;4.0;0.0;"2017-04-17 08:41:36+02:00";0.0;60.0;60.0;4.0;2.0;"0:15:00";435.0;240.0;120.0;90.0;0.0;0.0;0.0;7.0;5.0;3.0;8.0;6.0;4.0;7.0;5.0;3.0;9.0;6.0;4.0;2.0;2.0;2.0;0.0;0.0;0.0;14.0;10.0;8.0;120.0;30.0;30.0;4.0;2.0;4.0;"2017-04-15 01:00:00";"2017-04-15 23:30:00";"2017-04-16 23:30:00";45.0;270.0
"2017-04-19 17:17:55+02:00";"AB64";"2017-04-19 01:00:00";1.0;"Ik ben naar een verjaardag geweest.";"2017-04-18 07:00:00";0.0;0.0;1.0;1.0;0.0;2.0;0.0;2.0;1.0;0.0;"Verjaardag: kletsen met allerlei mensen, 10 minuten buiten lopen, lezen";0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;"2017-04-19 00:00:00";4312.0;9.0;1.0;1.0;"2017-04-18 17:17:55+02:00";1.0;60.0;60.0;4.0;2.0;"0:15:00";345.0;180.0;150.0;120.0;0.0;0.0;0.0;6.0;4.0;3.0;8.0;6.0;4.0;6.0;4.0;3.0;6.0;4.0;2.0;2.0;2.0;2.0;0.0;0.0;0.0;11.0;9.0;5.0;30.0;30.0;60.0;2.0;4.0;4.0;"2017-04-15 23:30:00";"2017-04-16 23:30:00";"2017-04-18 00:30:00";135.0;270.0
