"questionnaire_timestamp";"id";"bed_time";"late";"late_reason";"wake_time";"sleep_transition";"sleep_struggle";"night_wake";"wake_earlier";"wake_earlier_problem";"sleep_quality";"physical_activity";"mental_digital_activity";"social_activity";"light";"presleep_description";"temptation_smoking";"temptation_eating";"temptation_chat";"temptation_coffee";"temptation_social_media";"temptation_internet";"temptation_tv";"temptation_alcohol";"temptation_soft_drink";"temptation_cleaning";"temptation_shopping";"temptation_other";"bed_time_plan_aligned";"steps";"sun_hours";"temptation_score";"date";"day_of_week";"procrastination_minutes";"procrastination_minutes_three_day_cumulative_history";"procrastination_minutes_two_day_cumulative_history";"procrastination_minutes_one_day_cumulative_history";"sleep_struggle_three_day_cumulative_history";"sleep_struggle_two_day_cumulative_history";"sleep_struggle_one_day_cumulative_history";"night_wake_three_day_cumulative_history";"night_wake_two_day_cumulative_history";"night_wake_one_day_cumulative_history";"sleep_quality_three_day_cumulative_history";"sleep_quality_two_day_cumulative_history";"sleep_quality_one_day_cumulative_history";"social_activity_three_day_cumulative_history";"social_activity_two_day_cumulative_history";"social_activity_one_day_cumulative_history";"light_three_day_cumulative_history";"light_two_day_cumulative_history";"light_one_day_cumulative_history";"temptation_eating_three_day_cumulative_history";"temptation_eating_two_day_cumulative_history";"temptation_eating_one_day_cumulative_history";"temptation_coffee_three_day_cumulative_history";"temptation_coffee_two_day_cumulative_history";"temptation_coffee_one_day_cumulative_history";"temptation_score_three_day_cumulative_history";"temptation_score_two_day_cumulative_history";"temptation_score_one_day_cumulative_history";"procrastination_minutes_three_days_ago";"procrastination_minutes_two_days_ago";"procrastination_minutes_one_days_ago";"temptation_score_three_days_ago";"temptation_score_two_days_ago";"temptation_score_one_days_ago";"bed_time_three_days_ago";"bed_time_two_days_ago";"bed_time_one_days_ago"
"2017-04-20 17:18:27+02:00";"AB64";"2017-04-20 00:30:00";1;"Geen bijzondere reden. ";"2017-04-19 08:00:00";0;0;2;1;1;2;0;1;2;2;"Televisie kijken, lezen, ipad, gesprek voeren";0;2;0;0;0;0;0;2;0;0;0;0;"2017-04-19 23:00:00";2987;6.3;4;"2017-04-19 17:18:27+02:00";2;90;210;150;90;0;0;0;5;3;2;6;4;2;5;3;2;4;2;2;4;2;2;0;0;0;9;5;4;30;60;60;4;4;1;"2017-04-16 23:30:00";"2017-04-18 00:30:00";"2017-04-19 01:00:00"
"2017-04-21 07:31:53+02:00";"AB64";"2017-04-20 22:30:00";0;"N.v.t.";"2017-04-20 07:00:00";0;0;1;0;0;2;0;0;1;3;"Serie kijken, lezen in bed";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-21 00:00:00";2231;12.5;0;"2017-04-20 07:31:53+02:00";3;-90;60;0;-90;0;0;0;4;3;1;6;4;2;4;3;1;5;5;3;2;2;0;0;0;0;5;4;0;60;60;90;4;1;4;"2017-04-18 00:30:00";"2017-04-19 01:00:00";"2017-04-20 00:30:00"
"2017-04-22 07:25:50+02:00";"AB64";"2017-04-22 00:00:00";1;"Geen specifieke reden, soms loopt het gewoon zo en dan is het later dan je dacht.";"2017-04-21 07:00:00";0;0;2;0;0;2;0;3;3;3;"Tv kijken, lezen, praten met huisgenoten";0;2;0;0;0;0;0;2;0;0;0;0;"2017-04-21 23:00:00";2177;0.7;4;"2017-04-21 07:25:50+02:00";4;60;60;-30;60;0;0;0;5;3;2;6;4;2;6;4;3;8;6;3;4;2;2;0;0;0;8;4;4;60;90;-90;1;4;0;"2017-04-19 01:00:00";"2017-04-20 00:30:00";"2017-04-20 22:30:00"
"2017-04-23 21:04:02+02:00";"AB64";"2017-04-22 23:50:00";1;"In slaap gevallen voor tv";"2017-04-22 07:00:00";0;0;2;1;0;2;0;1;2;3;"Tv kijken, praten met de kinderen";0;0;0;0;2;2;0;2;0;0;1;0;"2017-04-23 00:00:00";5604;6.3;7;"2017-04-22 21:04:02+02:00";5;-10;-40;50;-10;0;0;0;5;4;2;6;4;2;6;5;2;9;6;3;2;2;0;0;0;0;11;11;7;90;-90;60;4;0;4;"2017-04-20 00:30:00";"2017-04-20 22:30:00";"2017-04-22 00:00:00"
"2017-04-10 20:43:22+02:00";"EM11";"2017-04-09 21:30:00";0;"";"2017-04-09 06:20:00";0;0;1;0;0;3;1;0;2;0;"Eten, opruimen, badkamer, massage";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-10 00:11:00";6897;12.3;2;"2017-04-09 20:43:22+02:00";6;-161;-161;-161;-161;0;0;0;1;1;1;3;3;3;2;2;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0
"2017-04-11 20:21:13+02:00";"EM11";"2017-04-10 22:15:00";1;"Bad gevolgd bij een heerlijke vrij partij;)";"2017-04-10 06:30:00";0;0;2;0;0;1;1;1;1;1;"Eten, computer, bad, seks";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-10 21:30:00";8722;5.3;0;"2017-04-10 20:21:13+02:00";0;45;-116;-116;45;0;0;0;3;3;2;4;4;1;3;3;1;1;1;1;0;0;0;0;0;0;2;2;0;0;0;-161;0;0;2;0;0;"2017-04-09 21:30:00"
"2017-04-12 19:14:51+02:00";"EM11";"2017-04-11 21:40:00";0;"";"2017-04-11 07:00:00";0;0;2;0;1;2;0;0;3;2;"Eten, huishouden, film";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-11 21:30:00";3389;8.6;0;"2017-04-11 19:14:51+02:00";1;10;-106;55;10;0;0;0;5;4;2;6;3;2;6;4;3;3;3;2;0;0;0;0;0;0;2;0;0;0;-161;45;0;2;0;0;"2017-04-09 21:30:00";"2017-04-10 22:15:00"
"2017-04-13 09:32:23+02:00";"EM11";"2017-04-12 21:15:00";0;"";"2017-04-12 05:50:00";0;0;1;0;0;3;0;1;3;0;"Koken, opruimen, lezen";0;0;0;0;0;0;0;0;0;0;0;2;"2017-04-12 21:00:00";2905;0.9;2;"2017-04-12 09:32:23+02:00";2;15;70;25;15;0;0;0;5;3;1;6;5;3;7;6;3;3;2;0;0;0;0;0;0;0;2;2;2;-161;45;10;2;0;0;"2017-04-09 21:30:00";"2017-04-10 22:15:00";"2017-04-11 21:40:00"
"2017-04-14 17:40:51+02:00";"EM11";"2017-04-13 22:00:00";0;"";"2017-04-13 06:45:00";0;0;1;0;0;3;0;0;1;3;"Lezen, eten, opruimen, film kijken";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-13 22:00:00";3487;7.7;0;"2017-04-13 17:40:51+02:00";3;0;25;15;0;0;0;0;4;2;1;8;6;3;7;4;1;5;3;3;0;0;0;0;0;0;2;2;0;45;10;15;0;0;2;"2017-04-10 22:15:00";"2017-04-11 21:40:00";"2017-04-12 21:15:00"
"2017-04-15 07:13:30+02:00";"EM11";"2017-04-14 23:15:00";1;"Avond met vrienden liep uit";"2017-04-14 06:10:00";0;0;1;1;0;2;1;2;2;3;"Praten met vrienden, fietsen, eten, opruimen, vrijen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-14 21:30:00";5633;2.4;0;"2017-04-14 07:13:30+02:00";4;105;120;105;105;0;0;0;3;2;1;8;5;2;6;3;2;6;6;3;0;0;0;0;0;0;2;0;0;10;15;0;0;2;0;"2017-04-11 21:40:00";"2017-04-12 21:15:00";"2017-04-13 22:00:00"
