"date";"id";"bed_time";"late";"late_reason";"wake_time";"sleep_transition";"sleep_struggle";"night_wake";"wake_earlier";"wake_earlier_problem";"sleep_quality";"physical_activity";"mental_digital_activity";"social_activity";"light";"presleep_description";"temptation_smoking";"temptation_eating";"temptation_chat";"temptation_coffee";"temptation_social_media";"temptation_internet";"temptation_tv";"temptation_alcohol";"temptation_soft_drink";"temptation_cleaning";"temptation_shopping";"temptation_other";"bed_time_plan";"steps";"sun_hours_yesterday";"temptation_score";"plan_tonight";"bed_tonight";"procrastination_minutes";"sun_hours_today";"procrastination_minutes_three_day_cumulative_history";"procrastination_minutes_two_day_cumulative_history";"procrastination_minutes_one_day_cumulative_history";"sleep_struggle_three_day_cumulative_history";"sleep_struggle_two_day_cumulative_history";"sleep_struggle_one_day_cumulative_history";"night_wake_three_day_cumulative_history";"night_wake_two_day_cumulative_history";"night_wake_one_day_cumulative_history";"sleep_quality_three_day_cumulative_history";"sleep_quality_two_day_cumulative_history";"sleep_quality_one_day_cumulative_history";"social_activity_three_day_cumulative_history";"social_activity_two_day_cumulative_history";"social_activity_one_day_cumulative_history";"light_three_day_cumulative_history";"light_two_day_cumulative_history";"light_one_day_cumulative_history";"eating_three_day_cumulative_history";"eating_two_day_cumulative_history";"eating_one_day_cumulative_history";"coffee_three_day_cumulative_history";"coffee_two_day_cumulative_history";"coffee_one_day_cumulative_history";"temptation_score_three_day_cumulative_history";"temptation_score_two_day_cumulative_history";"temptation_score_one_day_cumulative_history";"procrastination_minutes_three_days_ago";"procrastination_minutes_two_days_ago";"procrastination_minutes_one_days_ago";"temptation_score_three_days_ago";"temptation_score_two_days_ago";"temptation_score_one_days_ago";"bed_time_three_days_ago";"bed_time_two_days_ago";"bed_time_one_days_ago"
"2017-04-20 17:18:27+02:00";"AB64";"2017-04-20 00:30:00";1;"Geen bijzondere reden. ";"2017-04-20 08:00:00";0;0;2;1;1;2;0;1;2;2;"Televisie kijken, lezen, ipad, gesprek voeren";0;2;0;0;0;0;0;2;0;0;0;0;"2017-04-20 00:00:00";2987;6.3;4;"2017-04-21 00:00:00";"2017-04-20 22:30:00";-90;12.5;60;0;-90;60;0;-90;60;0;-90;60;0;-90;60;0;-90;60;0;-90;60;0;-90;60;0;-90;60;0;-90;60;60;90;4;4;1;"2017-04-17 23:30:00";"2017-04-18 00:30:00";"2017-04-19 01:00:00"
"2017-04-21 07:31:53+02:00";"AB64";"2017-04-21 22:30:00";0;"N.v.t.";"2017-04-21 07:00:00";0;0;1;0;0;2;0;0;1;3;"Serie kijken, lezen in bed";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-21 23:00:00";2231;12.5;0;"2017-04-21 23:00:00";"2017-04-22 00:00:00";60;0.7;60;-30;60;60;-30;60;60;-30;60;60;-30;60;60;-30;60;60;-30;60;60;-30;60;60;-30;60;60;-30;60;60;90;-90;4;1;4;"2017-04-18 00:30:00";"2017-04-19 01:00:00";"2017-04-20 00:30:00"
"2017-04-22 07:25:50+02:00";"AB64";"2017-04-22 00:00:00";1;"Geen specifieke reden, soms loopt het gewoon zo en dan is het later dan je dacht.";"2017-04-22 07:00:00";0;0;2;0;0;2;0;3;3;3;"Tv kijken, lezen, praten met huisgenoten";0;2;0;0;0;0;0;2;0;0;0;0;"2017-04-22 00:00:00";2177;0.7;4;"2017-04-23 00:00:00";"2017-04-22 23:50:00";-10;6.3;-40;50;-10;-40;50;-10;-40;50;-10;-40;50;-10;-40;50;-10;-40;50;-10;-40;50;-10;-40;50;-10;-40;50;-10;90;-90;60;1;4;0;"2017-04-19 01:00:00";"2017-04-20 00:30:00";"2017-04-21 22:30:00"
"2017-04-23 21:04:02+02:00";"AB64";"2017-04-23 23:50:00";1;"In slaap gevallen voor tv";"2017-04-23 07:00:00";0;0;2;1;0;2;0;1;2;3;"Tv kijken, praten met de kinderen";0;0;0;0;2;2;0;2;0;0;1;0;"2017-04-23 23:00:00";5604;6.3;7;"2017-04-23 23:00:00";"2017-04-23 21:30:00";-90;12.3;-40;-100;-90;-40;-100;-90;-40;-100;-90;-40;-100;-90;-40;-100;-90;-40;-100;-90;-40;-100;-90;-40;-100;-90;-40;-100;-90;-90;60;-10;4;0;4;"2017-04-20 00:30:00";"2017-04-21 22:30:00";"2017-04-22 00:00:00"
"2017-04-10 20:43:22+02:00";"EM11";"2017-04-10 21:30:00";0;"";"2017-04-10 06:20:00";0;0;1;0;0;3;1;0;2;0;"Eten, opruimen, badkamer, massage";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-10 21:30:00";6897;12.3;2;"2017-04-10 21:30:00";"2017-04-10 22:15:00";45;5.3;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;60;-10;-90;0;4;7;"2017-04-21 22:30:00";"2017-04-22 00:00:00";"2017-04-23 23:50:00"
"2017-04-11 20:21:13+02:00";"EM11";"2017-04-11 22:15:00";1;"Bad gevolgd bij een heerlijke vrij partij;)";"2017-04-11 06:30:00";0;0;2;0;0;1;1;1;1;1;"Eten, computer, bad, seks";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-11 21:30:00";8722;5.3;0;"2017-04-11 21:30:00";"2017-04-11 21:40:00";10;8.6;55;55;10;55;55;10;55;55;10;55;55;10;55;55;10;55;55;10;55;55;10;55;55;10;55;55;10;-10;-90;45;4;7;2;"2017-04-22 00:00:00";"2017-04-23 23:50:00";"2017-04-10 21:30:00"
"2017-04-12 19:14:51+02:00";"EM11";"2017-04-12 21:40:00";0;"";"2017-04-12 07:00:00";0;0;2;0;1;2;0;0;3;2;"Eten, huishouden, film";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-12 21:00:00";3389;8.6;0;"2017-04-12 21:00:00";"2017-04-12 21:15:00";15;0.9;70;25;15;70;25;15;70;25;15;70;25;15;70;25;15;70;25;15;70;25;15;70;25;15;70;25;15;-90;45;10;7;2;0;"2017-04-23 23:50:00";"2017-04-10 21:30:00";"2017-04-11 22:15:00"
"2017-04-13 09:32:23+02:00";"EM11";"2017-04-13 21:15:00";0;"";"2017-04-13 05:50:00";0;0;1;0;0;3;0;1;3;0;"Koken, opruimen, lezen";0;0;0;0;0;0;0;0;0;0;0;2;"2017-04-13 22:00:00";2905;0.9;2;"2017-04-13 22:00:00";"2017-04-13 22:00:00";0;7.7;25;15;0;25;15;0;25;15;0;25;15;0;25;15;0;25;15;0;25;15;0;25;15;0;25;15;0;45;10;15;2;0;0;"2017-04-10 21:30:00";"2017-04-11 22:15:00";"2017-04-12 21:40:00"
"2017-04-14 17:40:51+02:00";"EM11";"2017-04-14 22:00:00";0;"";"2017-04-14 06:45:00";0;0;1;0;0;3;0;0;1;3;"Lezen, eten, opruimen, film kijken";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-14 21:30:00";3487;7.7;0;"2017-04-14 21:30:00";"2017-04-14 23:15:00";105;2.4;120;105;105;120;105;105;120;105;105;120;105;105;120;105;105;120;105;105;120;105;105;120;105;105;120;105;105;10;15;0;0;0;2;"2017-04-11 22:15:00";"2017-04-12 21:40:00";"2017-04-13 21:15:00"
"2017-04-15 07:13:30+02:00";"EM11";"2017-04-15 23:15:00";1;"Avond met vrienden liep uit";"2017-04-15 06:10:00";0;0;1;1;0;2;1;2;2;3;"Praten met vrienden, fietsen, eten, opruimen, vrijen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-15 21:00:00";5633;2.4;0;"2017-04-15 21:00:00";"2017-04-15 21:15:00";15;4.7;120;120;15;120;120;15;120;120;15;120;120;15;120;120;15;120;120;15;120;120;15;120;120;15;120;120;15;15;0;105;0;2;0;"2017-04-12 21:40:00";"2017-04-13 21:15:00";"2017-04-14 22:00:00"
