"date";"id";"bed_time";"late";"late_reason";"wake_time";"sleep_transition";"sleep_struggle";"night_wake";"wake_earlier";"wake_earlier_problem";"sleep_quality";"physical_activity";"mental_digital_activity";"social_activity";"light";"presleep_description";"temptation_smoking";"temptation_eating";"temptation_chat";"temptation_coffee";"temptation_social_media";"temptation_internet";"temptation_tv";"temptation_alcohol";"temptation_soft_drink";"temptation_cleaning";"temptation_shopping";"temptation_other";"bed_time_plan";"steps";"sun_hours_yesterday";"temptation_score";"plan_tonight";"bed_tonight";"procrastination_minutes";"sun_hours_today";"procrastination_minutes_three_day_cumulative_history";"procrastination_minutes_two_day_cumulative_history";"procrastination_minutes_one_day_cumulative_history";"sleep_struggle_three_day_cumulative_history";"sleep_struggle_two_day_cumulative_history";"sleep_struggle_one_day_cumulative_history";"night_wake_three_day_cumulative_history";"night_wake_two_day_cumulative_history";"night_wake_one_day_cumulative_history";"sleep_quality_three_day_cumulative_history";"sleep_quality_two_day_cumulative_history";"sleep_quality_one_day_cumulative_history";"social_activity_three_day_cumulative_history";"social_activity_two_day_cumulative_history";"social_activity_one_day_cumulative_history";"light_three_day_cumulative_history";"light_two_day_cumulative_history";"light_one_day_cumulative_history";"eating_three_day_cumulative_history";"eating_two_day_cumulative_history";"eating_one_day_cumulative_history";"coffee_three_day_cumulative_history";"coffee_two_day_cumulative_history";"coffee_one_day_cumulative_history";"temptation_score_three_day_cumulative_history";"temptation_score_two_day_cumulative_history";"temptation_score_one_day_cumulative_history";"procrastination_minutes_three_days_ago";"procrastination_minutes_two_days_ago";"procrastination_minutes_one_days_ago";"temptation_score_three_days_ago";"temptation_score_two_days_ago";"temptation_score_one_days_ago";"bed_time_three_days_ago";"bed_time_two_days_ago";"bed_time_one_days_ago"
"2017-04-16 07:00:48+02:00";"EM11";"2017-04-16 21:15:00";0;"";"2017-04-16 06:15:00";0;0;2;1;2;1;1;1;2;0;"Koken, eten, wandelen, lezen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-16 21:00:00";8149;4.7;0;"2017-04-16 21:00:00";"2017-04-16 22:00:00";60;3.4;180;75;60;180;75;60;180;75;60;180;75;60;180;75;60;180;75;60;180;75;60;180;75;60;180;75;60;0;105;15;2;0;0;"2017-04-13 21:15:00";"2017-04-14 22:00:00";"2017-04-15 23:15:00"
"2017-04-17 07:18:49+02:00";"EM11";"2017-04-17 22:00:00";0;"";"2017-04-17 06:30:00";0;0;0;1;1;2;0;0;3;0;"Zakelijke gesprekken, eten, sociaal";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-17 21:30:00";7739;3.4;0;"2017-04-17 21:30:00";"2017-04-17 22:15:00";45;7.4;120;105;45;120;105;45;120;105;45;120;105;45;120;105;45;120;105;45;120;105;45;120;105;45;120;105;45;105;15;60;0;0;0;"2017-04-14 22:00:00";"2017-04-15 23:15:00";"2017-04-16 21:15:00"
"2017-04-18 07:05:45+02:00";"EM11";"2017-04-18 22:15:00";1;"Vrijen;)";"2017-04-18 06:10:00";0;0;1;1;1;2;1;1;1;1;"Koken, opruimen, lezen, praten, vrijen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-18 21:30:00";6492;7.4;0;"2017-04-18 21:30:00";"2017-04-18 22:00:00";30;9.2;135;75;30;135;75;30;135;75;30;135;75;30;135;75;30;135;75;30;135;75;30;135;75;30;135;75;30;15;60;45;0;0;0;"2017-04-15 23:15:00";"2017-04-16 21:15:00";"2017-04-17 22:00:00"
"2017-04-19 13:50:06+02:00";"EM11";"2017-04-19 22:00:00";1;"Bad";"2017-04-19 06:30:00";0;1;0;0;0;3;1;0;2;1;"Eten, opruimen, wandelen, tandarts, bad";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-19 21:30:00";8606;9.2;0;"2017-04-19 21:30:00";"2017-04-19 21:30:00";0;7.1;75;30;0;75;30;0;75;30;0;75;30;0;75;30;0;75;30;0;75;30;0;75;30;0;75;30;0;60;45;30;0;0;0;"2017-04-16 21:15:00";"2017-04-17 22:00:00";"2017-04-18 22:15:00"
"2017-04-20 11:08:22+02:00";"EM11";"2017-04-20 21:30:00";0;"";"2017-04-20 06:10:00";0;0;0;0;0;3;0;1;1;0;"Sociaal, winkelen, eten, huishouden, lezen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-20 23:00:00";2544;7.1;0;"2017-04-20 23:00:00";"2017-04-21 01:00:00";120;12.3;150;120;120;150;120;120;150;120;120;150;120;120;150;120;120;150;120;120;150;120;120;150;120;120;150;120;120;45;30;0;0;0;0;"2017-04-17 22:00:00";"2017-04-18 22:15:00";"2017-04-19 22:00:00"
"2017-04-21 07:59:14+02:00";"EM11";"2017-04-21 01:00:00";1;"Soul party";"2017-04-21 07:00:00";0;0;1;1;3;1;2;0;1;3;"Dansen, drinken, fietsen";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-21 21:00:00";20491;12.3;2;"2017-04-21 21:00:00";"2017-04-21 21:15:00";15;0.4;135;135;15;135;135;15;135;135;15;135;135;15;135;135;15;135;135;15;135;135;15;135;135;15;135;135;15;30;0;120;0;0;0;"2017-04-18 22:15:00";"2017-04-19 22:00:00";"2017-04-20 21:30:00"
"2017-04-22 13:19:46+02:00";"EM11";"2017-04-22 21:15:00";1;"Vakantie planning";"2017-04-22 06:20:00";1;1;2;1;3;0;1;2;2;1;"Wandelen, eten, huishouden, computer";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-22 21:00:00";8714;0.4;0;"2017-04-22 21:00:00";"2017-04-22 21:15:00";15;7.8;150;30;15;150;30;15;150;30;15;150;30;15;150;30;15;150;30;15;150;30;15;150;30;15;150;30;15;0;120;15;0;0;2;"2017-04-19 22:00:00";"2017-04-20 21:30:00";"2017-04-21 01:00:00"
"2017-04-23 11:56:03+02:00";"EM11";"2017-04-23 21:15:00";1;"Voorbereiding vakantie";"2017-04-23 06:00:00";0;0;0;0;0;3;2;1;2;1;"Eten, huishouden, wandelen, computer, vakantie voorbereidingen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-23 22:00:00";15697;7.8;0;"2017-04-23 22:00:00";"2017-04-23 23:00:00";60;5.5;90;75;60;90;75;60;90;75;60;90;75;60;90;75;60;90;75;60;90;75;60;90;75;60;90;75;60;120;15;15;0;2;0;"2017-04-20 21:30:00";"2017-04-21 01:00:00";"2017-04-22 21:15:00"
"2017-04-24 11:09:48+02:00";"EM11";"2017-04-24 23:00:00";1;"vrijen:) de laatste keer voor we het klooster in gaan:(";"2017-04-24 07:00:00";0;0;0;0;0;3;1;0;3;0;"Wandelen, bad, seks";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-24 23:30:00";6879;5.5;0;"2017-04-24 23:30:00";"2017-04-24 23:15:00";-15;12.3;60;45;-15;60;45;-15;60;45;-15;60;45;-15;60;45;-15;60;45;-15;60;45;-15;60;45;-15;60;45;-15;15;15;60;2;0;0;"2017-04-21 01:00:00";"2017-04-22 21:15:00";"2017-04-23 21:15:00"
"2017-04-10 21:53:22+02:00";"FT12";"2017-04-10 23:15:00";0;"";"2017-04-10 07:30:00";1;0;0;0;0;2;0;0;2;2;"wandelen, bad, TV";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-10 00:00:00";4309;12.3;0;"2017-04-11 00:00:00";"2017-04-10 22:00:00";-120;5.3;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;15;60;-15;0;0;0;"2017-04-22 21:15:00";"2017-04-23 21:15:00";"2017-04-24 23:00:00"
"2017-04-11 21:58:21+02:00";"FT12";"2017-04-11 22:00:00";0;"";"2017-04-11 07:30:00";0;0;1;1;1;1;3;0;2;0;"bad, massage, sex";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-11 23:00:00";19412;5.3;0;"2017-04-11 23:00:00";"2017-04-11 22:15:00";-45;8.6;-165;-165;-45;-165;-165;-45;-165;-165;-45;-165;-165;-45;-165;-165;-45;-165;-165;-45;-165;-165;-45;-165;-165;-45;-165;-165;-45;60;-15;-120;0;0;0;"2017-04-23 21:15:00";"2017-04-24 23:00:00";"2017-04-10 23:15:00"
"2017-04-12 17:22:12+02:00";"FT12";"2017-04-12 22:15:00";0;"";"2017-04-12 07:30:00";1;0;1;1;2;1;0;0;2;3;"eten, film kijken, ebook lezen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-12 22:00:00";1785;8.6;0;"2017-04-12 22:00:00";"2017-04-12 22:15:00";15;0.9;-150;-30;15;-150;-30;15;-150;-30;15;-150;-30;15;-150;-30;15;-150;-30;15;-150;-30;15;-150;-30;15;-150;-30;15;-15;-120;-45;0;0;0;"2017-04-24 23:00:00";"2017-04-10 23:15:00";"2017-04-11 22:00:00"
"2017-04-13 07:40:53+02:00";"FT12";"2017-04-13 22:15:00";0;"";"2017-04-13 07:15:00";2;0;1;0;0;3;2;2;1;0;"eten, fietsen, bezoek";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-13 23:00:00";10256;0.9;2;"2017-04-13 23:00:00";"2017-04-14 00:00:00";60;7.7;30;75;60;30;75;60;30;75;60;30;75;60;30;75;60;30;75;60;30;75;60;30;75;60;30;75;60;-120;-45;15;0;0;0;"2017-04-10 23:15:00";"2017-04-11 22:00:00";"2017-04-12 22:15:00"
"2017-04-14 11:19:12+02:00";"FT12";"2017-04-14 00:00:00";1;"TV";"2017-04-14 09:15:00";0;0;2;1;1;2;1;2;2;3;"studie, TV";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-14 23:00:00";5644;7.7;2;"2017-04-14 23:00:00";"2017-04-15 00:00:00";60;2.4;135;120;60;135;120;60;135;120;60;135;120;60;135;120;60;135;120;60;135;120;60;135;120;60;135;120;60;-45;15;60;0;0;2;"2017-04-11 22:00:00";"2017-04-12 22:15:00";"2017-04-13 22:15:00"
"2017-04-15 07:31:35+02:00";"FT12";"2017-04-15 00:00:00";1;"TV";"2017-04-15 07:00:00";0;0;0;0;0;2;0;2;2;3;"Studie, TV";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-15 23:00:00";8838;2.4;0;"2017-04-15 23:00:00";"2017-04-16 00:15:00";75;4.7;195;135;75;195;135;75;195;135;75;195;135;75;195;135;75;195;135;75;195;135;75;195;135;75;195;135;75;15;60;60;0;2;2;"2017-04-12 22:15:00";"2017-04-13 22:15:00";"2017-04-14 00:00:00"
"2017-04-16 12:25:19+02:00";"FT12";"2017-04-16 00:15:00";1;"TV";"2017-04-16 08:30:00";1;1;1;1;1;1;0;2;2;2;"Studie, TV";0;2;0;0;0;0;2;2;0;0;0;0;"2017-04-16 00:00:00";4596;4.7;6;"2017-04-17 00:00:00";"2017-04-17 01:30:00";90;3.4;225;165;90;225;165;90;225;165;90;225;165;90;225;165;90;225;165;90;225;165;90;225;165;90;225;165;90;60;60;75;2;2;0;"2017-04-13 22:15:00";"2017-04-14 00:00:00";"2017-04-15 00:00:00"
"2017-04-17 11:58:03+02:00";"FT12";"2017-04-17 01:30:00";1;"feest";"2017-04-17 08:00:00";0;0;1;0;0;2;2;1;2;3;"dansen, fietsen";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-17 23:00:00";14091;3.4;2;"2017-04-17 23:00:00";"2017-04-17 23:15:00";15;7.4;180;105;15;180;105;15;180;105;15;180;105;15;180;105;15;180;105;15;180;105;15;180;105;15;180;105;15;60;75;90;2;0;6;"2017-04-14 00:00:00";"2017-04-15 00:00:00";"2017-04-16 00:15:00"
"2017-04-18 08:47:49+02:00";"FT12";"2017-04-18 23:15:00";0;"";"2017-04-18 08:30:00";1;1;2;1;2;1;0;2;2;3;"administratie, studie, TV";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-18 23:00:00";2467;7.4;2;"2017-04-18 23:00:00";"2017-04-19 00:00:00";60;9.2;165;75;60;165;75;60;165;75;60;165;75;60;165;75;60;165;75;60;165;75;60;165;75;60;165;75;60;75;90;15;0;6;2;"2017-04-15 00:00:00";"2017-04-16 00:15:00";"2017-04-17 01:30:00"
