"date";"id";"bed_time";"late";"late_reason";"wake_time";"sleep_transition";"sleep_struggle";"night_wake";"wake_earlier";"wake_earlier_problem";"sleep_quality";"physical_activity";"mental_digital_activity";"social_activity";"light";"presleep_description";"temptation_smoking";"temptation_eating";"temptation_chat";"temptation_coffee";"temptation_social_media";"temptation_internet";"temptation_tv";"temptation_alcohol";"temptation_soft_drink";"temptation_cleaning";"temptation_shopping";"temptation_other";"bed_time_plan";"temptation_score";"plan_tonight";"bed_tonight";"procrastination_minutes"
"2017-04-12 19:14:51+02:00";"EM11";"2017-04-12 21:40:00";0;"";"2017-04-12 07:00:00";0;0;2;0;1;2;0;0;3;2;"Eten, huishouden, film";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-12 21:00:00";0;"2017-04-12 21:00:00";"2017-04-12 21:15:00";15
"2017-04-13 09:32:23+02:00";"EM11";"2017-04-13 21:15:00";0;"";"2017-04-13 05:50:00";0;0;1;0;0;3;0;1;3;0;"Koken, opruimen, lezen";0;0;0;0;0;0;0;0;0;0;0;2;"2017-04-13 22:00:00";2;"2017-04-13 22:00:00";"2017-04-13 22:00:00";0
"2017-04-14 17:40:51+02:00";"EM11";"2017-04-14 22:00:00";0;"";"2017-04-14 06:45:00";0;0;1;0;0;3;0;0;1;3;"Lezen, eten, opruimen, film kijken";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-14 21:30:00";0;"2017-04-14 21:30:00";"2017-04-14 23:15:00";105
"2017-04-15 07:13:30+02:00";"EM11";"2017-04-15 23:15:00";1;"Avond met vrienden liep uit";"2017-04-15 06:10:00";0;0;1;1;0;2;1;2;2;3;"Praten met vrienden, fietsen, eten, opruimen, vrijen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-15 21:00:00";0;"2017-04-15 21:00:00";"2017-04-15 21:15:00";15
"2017-04-16 07:00:48+02:00";"EM11";"2017-04-16 21:15:00";0;"";"2017-04-16 06:15:00";0;0;2;1;2;1;1;1;2;0;"Koken, eten, wandelen, lezen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-16 21:00:00";0;"2017-04-16 21:00:00";"2017-04-16 22:00:00";60
"2017-04-17 07:18:49+02:00";"EM11";"2017-04-17 22:00:00";0;"";"2017-04-17 06:30:00";0;0;0;1;1;2;0;0;3;0;"Zakelijke gesprekken, eten, sociaal";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-17 21:30:00";0;"2017-04-17 21:30:00";"2017-04-17 22:15:00";45
"2017-04-18 07:05:45+02:00";"EM11";"2017-04-18 22:15:00";1;"Vrijen;)";"2017-04-18 06:10:00";0;0;1;1;1;2;1;1;1;1;"Koken, opruimen, lezen, praten, vrijen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-18 21:30:00";0;"2017-04-18 21:30:00";"2017-04-18 22:00:00";30
"2017-04-19 13:50:06+02:00";"EM11";"2017-04-19 22:00:00";1;"Bad";"2017-04-19 06:30:00";0;1;0;0;0;3;1;0;2;1;"Eten, opruimen, wandelen, tandarts, bad";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-19 21:30:00";0;"2017-04-19 21:30:00";"2017-04-19 21:30:00";0
"2017-04-20 11:08:22+02:00";"EM11";"2017-04-20 21:30:00";0;"";"2017-04-20 06:10:00";0;0;0;0;0;3;0;1;1;0;"Sociaal, winkelen, eten, huishouden, lezen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-20 23:00:00";0;"2017-04-20 23:00:00";"2017-04-21 01:00:00";120
"2017-04-21 07:59:14+02:00";"EM11";"2017-04-21 01:00:00";1;"Soul party";"2017-04-21 07:00:00";0;0;1;1;3;1;2;0;1;3;"Dansen, drinken, fietsen";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-21 21:00:00";2;"2017-04-21 21:00:00";"2017-04-21 21:15:00";15
